Beat number,state,tsid,type
82,1.2222000360488892,22,pd
83,1.1139999628067017,22,pd
84,1.30840003490448,22,pd
85,1.0390000343322754,22,pd
86,1.2892999649047852,22,pd
87,1.0598000288009644,22,pd
88,1.2813999652862549,22,pd
89,1.0678000450134275,22,pd
90,1.2454999685287476,22,pd
91,0.9388700127601624,22,pd
92,1.3885999917984009,22,pd
93,0.9016299843788148,22,pd
0,1.2181999683380127,23,pd
1,1.2402000427246094,23,pd
2,1.2905999422073364,23,pd
3,1.181399941444397,23,pd
4,1.2487000226974487,23,pd
5,1.2093000411987305,23,pd
6,1.2378000020980835,23,pd
7,1.2196999788284302,23,pd
8,1.180299997329712,23,pd
9,1.2878999710083008,23,pd
10,1.2438000440597534,23,pd
11,1.2553999423980713,23,pd
12,1.2513999938964844,23,pd
13,1.2282999753952026,23,pd
14,1.3177000284194946,23,pd
15,1.2344000339508057,23,pd
16,1.2400000095367432,23,pd
17,1.2253999710083008,23,pd
18,1.30239999294281,23,pd
19,1.1827000379562378,23,pd
20,1.3005000352859497,23,pd
21,1.2415000200271606,23,pd
22,1.2618000507354736,23,pd
23,1.2422000169754028,23,pd
24,1.2581000328063965,23,pd
25,1.2657999992370603,23,pd
26,1.221500039100647,23,pd
27,1.3011000156402588,23,pd
28,1.235700011253357,23,pd
29,1.2899999618530271,23,pd
30,1.2378000020980835,23,pd
31,1.295699954032898,23,pd
32,1.264799952507019,23,pd
33,1.2690999507904053,23,pd
34,1.1931999921798706,23,pd
35,1.2932000160217283,23,pd
36,1.2611000537872314,23,pd
37,1.2972999811172483,23,pd
38,1.242400050163269,23,pd
39,1.2818000316619873,23,pd
40,1.2415000200271606,23,pd
41,1.294100046157837,23,pd
42,1.2111999988555908,23,pd
43,1.3050999641418457,23,pd
44,1.2798000574111938,23,pd
45,1.2942999601364136,23,pd
46,1.267899990081787,23,pd
47,1.26610004901886,23,pd
48,1.2654999494552612,23,pd
49,1.198699951171875,23,pd
50,1.2962000370025637,23,pd
51,1.2409000396728516,23,pd
52,1.2547999620437622,23,pd
53,1.2761000394821167,23,pd
54,1.2680000066757202,23,pd
55,1.2867000102996826,23,pd
56,1.222499966621399,23,pd
57,1.2627999782562256,23,pd
58,1.2307000160217283,23,pd
59,1.241199970245361,23,pd
60,1.3056999444961548,23,pd
61,1.1267000436782837,23,pd
62,1.301900029182434,23,pd
63,1.135800004005432,23,pd
64,1.2838000059127808,23,pd
65,1.1483999490737915,23,pd
66,1.3085999488830566,23,pd
67,1.1734000444412231,23,pd
68,1.302899956703186,23,pd
69,1.157099962234497,23,pd
70,1.3257999420166016,23,pd
71,1.2710000276565552,23,pd
72,1.25600004196167,23,pd
73,1.289800047874451,23,pd
74,1.2720999717712402,23,pd
75,1.2771999835968018,23,pd
76,1.208899974822998,23,pd
77,1.2883000373840332,23,pd
78,1.1614999771118164,23,pd
79,1.2791999578475952,23,pd
80,1.2148000001907349,23,pd
81,1.2905000448226929,23,pd
82,1.1770999431610107,23,pd
83,1.1877000331878662,23,pd
84,1.2035000324249268,23,pd
85,1.1650999784469604,23,pd
86,1.222100019454956,23,pd
87,1.2010999917984009,23,pd
88,1.1993000507354736,23,pd
89,1.1506999731063845,23,pd
90,1.1979999542236328,23,pd
91,1.23580002784729,23,pd
92,1.2424999475479126,23,pd
93,1.238700032234192,23,pd
94,1.2369999885559082,23,pd
95,1.2312999963760376,23,pd
96,1.204300045967102,23,pd
97,1.235100030899048,23,pd
98,1.2409000396728516,23,pd
99,1.201799988746643,23,pd
100,1.2417000532150269,23,pd
101,1.194499969482422,23,pd
102,1.231600046157837,23,pd
103,1.180899977684021,23,pd
104,1.3179999589920044,23,pd
105,1.1866999864578247,23,pd
