Age,tree_felling,Record,Transition_start,Transition_end,Period,tsid
1006,64,construction_activity_PII,1118,1157,PII,2
1007,46,construction_activity_PII,1118,1157,PII,2
1008,39,construction_activity_PII,1118,1157,PII,2
1009,25,construction_activity_PII,1118,1157,PII,2
1010,26,construction_activity_PII,1118,1157,PII,2
1011,48,construction_activity_PII,1118,1157,PII,2
1012,19,construction_activity_PII,1118,1157,PII,2
1013,14,construction_activity_PII,1118,1157,PII,2
1014,19,construction_activity_PII,1118,1157,PII,2
1015,37,construction_activity_PII,1118,1157,PII,2
1016,46,construction_activity_PII,1118,1157,PII,2
1017,26,construction_activity_PII,1118,1157,PII,2
1018,25,construction_activity_PII,1118,1157,PII,2
1019,20,construction_activity_PII,1118,1157,PII,2
1020,37,construction_activity_PII,1118,1157,PII,2
1021,49,construction_activity_PII,1118,1157,PII,2
1022,38,construction_activity_PII,1118,1157,PII,2
1023,43,construction_activity_PII,1118,1157,PII,2
1024,54,construction_activity_PII,1118,1157,PII,2
1025,31,construction_activity_PII,1118,1157,PII,2
1026,40,construction_activity_PII,1118,1157,PII,2
1027,32,construction_activity_PII,1118,1157,PII,2
1028,44,construction_activity_PII,1118,1157,PII,2
1029,71,construction_activity_PII,1118,1157,PII,2
1030,35,construction_activity_PII,1118,1157,PII,2
1031,36,construction_activity_PII,1118,1157,PII,2
1032,28,construction_activity_PII,1118,1157,PII,2
1033,50,construction_activity_PII,1118,1157,PII,2
1034,53,construction_activity_PII,1118,1157,PII,2
1035,36,construction_activity_PII,1118,1157,PII,2
1036,51,construction_activity_PII,1118,1157,PII,2
1037,85,construction_activity_PII,1118,1157,PII,2
1038,111,construction_activity_PII,1118,1157,PII,2
1039,138,construction_activity_PII,1118,1157,PII,2
1040,108,construction_activity_PII,1118,1157,PII,2
1041,41,construction_activity_PII,1118,1157,PII,2
1042,58,construction_activity_PII,1118,1157,PII,2
1043,86,construction_activity_PII,1118,1157,PII,2
1044,33,construction_activity_PII,1118,1157,PII,2
1045,104,construction_activity_PII,1118,1157,PII,2
1046,64,construction_activity_PII,1118,1157,PII,2
1047,87,construction_activity_PII,1118,1157,PII,2
1048,45,construction_activity_PII,1118,1157,PII,2
1049,70,construction_activity_PII,1118,1157,PII,2
1050,73,construction_activity_PII,1118,1157,PII,2
1051,160,construction_activity_PII,1118,1157,PII,2
1052,111,construction_activity_PII,1118,1157,PII,2
1053,82,construction_activity_PII,1118,1157,PII,2
1054,73,construction_activity_PII,1118,1157,PII,2
1055,50,construction_activity_PII,1118,1157,PII,2
1056,49,construction_activity_PII,1118,1157,PII,2
1057,56,construction_activity_PII,1118,1157,PII,2
1058,38,construction_activity_PII,1118,1157,PII,2
1059,48,construction_activity_PII,1118,1157,PII,2
1060,74,construction_activity_PII,1118,1157,PII,2
1061,91,construction_activity_PII,1118,1157,PII,2
1062,34,construction_activity_PII,1118,1157,PII,2
1063,56,construction_activity_PII,1118,1157,PII,2
1064,74,construction_activity_PII,1118,1157,PII,2
1065,63,construction_activity_PII,1118,1157,PII,2
1066,62,construction_activity_PII,1118,1157,PII,2
1067,32,construction_activity_PII,1118,1157,PII,2
1068,26,construction_activity_PII,1118,1157,PII,2
1069,34,construction_activity_PII,1118,1157,PII,2
1070,28,construction_activity_PII,1118,1157,PII,2
