Age,SD_probability_mean,SD_probability_error
-14.444304,0.9999999234672468,1.8800986186734444e-10
-14.420253,0.9999999812293408,4.8144850583940886e-11
-14.396203,0.9999999883208012,3.0383553667924723e-11
-14.372152,0.9999999890408628,2.856412970312821e-11
-14.348101,0.9999999919784336,2.1100812794686936e-11
-14.324051,0.999999981344452,4.785845492775597e-11
-14.3,0.9999999845262476,3.991918960839114e-11
-14.275949,0.999999988083444,3.0982533184031835e-11
-14.251899,0.999999977006784,5.861546141061322e-11
-14.227848,0.9999999741826878,6.55841605584946e-11
-14.203797,0.9999999783030764,5.5407986398159685e-11
-14.179747,0.999999978340848,5.531443628985352e-11
-14.155696,0.9999999710441866,7.330082549693417e-11
-14.131646,0.9999999798547816,5.156064267626856e-11
-14.107595,0.9999999628479,9.333571839161604e-11
-14.083544,0.9999999452371588,1.3594144915005292e-10
-14.059494,0.9999999299564176,1.725463773420695e-10
-14.035443,0.9999996653233122,7.842041821489634e-10
-14.011392,0.9999973049664372,5.884784779675936e-09
-13.987342,0.9999956454176192,9.349462259950097e-09
-13.963291,0.9999997054974028,6.92960448587297e-10
-13.939241,0.9999999164192314,2.0475719012261114e-10
-13.91519,0.9999999780345188,5.6072967065637376e-11
-13.891139,0.9999999820940646,4.599206938227877e-11
-13.867089,0.9999999314817372,1.6890503550279778e-10
-13.843038,0.9999999851124478,3.8451270566185015e-11
-13.818987,0.999999985436642,3.763868689337039e-11
-13.794937,0.999999981588216,4.725179017804505e-11
-13.770886,0.9999999768138208,5.909242766598892e-11
-13.746835,0.9999989809496308,2.300850111903155e-09
-13.722785,0.9999987860552668,2.724641183418917e-09
-13.698734,0.999996207753606,8.181987051646046e-09
-13.674684,0.9999996225719918,8.808958326055053e-10
-13.650633,0.999999786311614,5.080702786946823e-10
-13.626582,0.9999990516038002,2.1465388012045474e-09
-13.602532,0.9999998896682198,2.679346036403573e-10
-13.578481,0.9999998152855972,4.412492853139523e-10
-13.55443,0.9999999685152554,7.949951432883967e-11
-13.53038,0.9999999767365167,5.928347538867036e-11
-13.506329,0.9999999682345604,8.018653997973542e-11
-13.482278,0.9999999867690018,3.4293188590511706e-11
-13.458228,0.9999999770658012,5.846955720476745e-11
-13.434177,0.9999999398546052,1.4886863646317075e-10
-13.410127,0.9999997365257304,6.222036144665036e-10
-13.386076,0.9999901522602392,2.0533966601457856e-08
-13.362025,0.9960822097576733,3.848124741110425e-06
-13.337975,0.999991718224572,1.7377273124221394e-08
-13.313924,0.9999993546890272,1.479581283624707e-09
-13.289873,0.999998168062983,4.054100294856439e-09
-13.265823,0.9999981528089248,4.08668838933146e-09
-13.241772,0.999998863781235,2.555938165246997e-09
-13.217722,0.9999992802400236,1.644259172773016e-09
-13.193671,0.9999999500986336,1.2423082312398653e-10
-13.16962,0.9999999666667416,8.402045382745552e-11
-13.14557,0.9999999660643942,8.549189598485036e-11
-13.121519,0.9999999133354416,2.1207022010182283e-10
-13.097468,0.9999996632818132,7.88830603118233e-10
